trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
266,False,"{'a': 0.36799999999999955, 'e': 1.187077318057757e-06}",30,13,32.72027595906132,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.36599999999999955, 'e': 1.127723452154869e-06}",20,10,18.670456803257537,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.36399999999999955, 'e': 1.0713372795471255e-06}",20,14,9.352761831051051,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.36199999999999954, 'e': 1.0177704155697692e-06}",25,13,19.90267077545906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.35999999999999954, 'e': 9.668818947912806e-07}",25,20,9.503255175683016,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.35799999999999954, 'e': 9.185378000517166e-07}",25,13,22.757729889800277,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.35599999999999954, 'e': 8.726109100491308e-07}",20,12,11.438998494319035,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.35399999999999954, 'e': 8.289803645466742e-07}",35,24,23.384873144168942,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.35199999999999954, 'e': 7.875313463193404e-07}",30,15,25.00178421734445,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.34999999999999953, 'e': 7.481547790033734e-07}",20,9,16.941857524070823,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.34799999999999953, 'e': 7.107470400532047e-07}",20,10,18.51979768497744,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
